Timestamp,Gender,Age? (Years),Where do you live? (District),What is your highest educational level? ,What is your occupation? ,Monthly income (in thousands) ,What type of bank account do you have?,What is the type of bank you use for  mobile banking application,How long have you been using the mobile banking application?,What are the purposes that you use the mobile banking app? (Select one or many),How did you get to know about mobile banking? ,Do you think a mobile banking app would help you for day to day life?,Do you think mobile banking is safe?,What do you think about the bill payment service offered by mobile banking?,What do you think about the Money transfer facility offered by the Mobile Banking system at any bank? ,Can you satisfy with the service charges related to mobile banking application? ,"According to your knowledge, which banks offer better mobile banking applications?",Would you like to recommend mobile banking to others?
11/3/2020 8:38,Male,31 - 40,Gampaha,Degree,Private Sector,"More than 150,000",Savings account,Private,More than one year,To Transfer money,From Internet,Strongly useful,Yes,Good,Good,yes,Private Banks,Yes
11/3/2020 8:46,Male,31 - 40,Mullaitivu,Graduate,Private Sector,"More than 150,000",Savings account,Private,More than one year,"To Transfer money, To pay bills, To get account balance update, other",From a Friend,Strongly useful,Neutral,Good,Good,Neutral,Private Banks,Yes
11/3/2020 8:48,Male,19 -30,Hambantota,Diploma,Private Sector,"51,000 - 100,000",Savings account,Both,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Strongly useful,Yes,Good,Good,Neutral,Private Banks,Yes
11/3/2020 8:50,Female,19 -30,Anuradhapura,Graduate,Public Sector,"26,000 - 50,000",Savings account,Both,More than one year,"To Transfer money, To pay bills, To get account balance update",From Bank,Strongly useful,Yes,Good,Good,No,No idea,Yes
11/3/2020 8:54,Female,19 -30,Kandy,Degree,Student,Not applicable,Savings account,Both,More than one year,To Transfer money,Other,Useful,Yes,Good,Good,Neutral,Private Banks,Yes
11/3/2020 8:57,Female,19 -30,Kurunegala,Degree,Private Sector,"26,000 - 50,000",Savings account,Private,More than one year,"To Transfer money, To get account balance update",From Bank,Useful,Yes,Average,Average,yes,Private Banks,Yes
11/3/2020 9:05,Female,19 -30,Gampaha,Graduate,Private Sector,"51,000 - 100,000",Savings account,Government,More than one year,To buy goods or services,From Internet,Strongly useful,Yes,Good,Good,No,Government Banks,Yes
11/3/2020 9:07,Female,19 -30,Colombo,Graduate,Private Sector,"51,000 - 100,000",Savings account,Private,Between 5 months to one year,"To Transfer money, To get account balance update, other",From Bank,Strongly useful,Yes,Good,Average,yes,No idea,Yes
11/3/2020 9:12,Female,19 -30,Puttalam,Graduate,Student,Not applicable,Savings account,Private,Between 5 months to one year,"To buy goods or services, To get account balance update",From Bank,Strongly useful,Yes,Good,Good,yes,Private Banks,Yes
11/3/2020 9:22,Male,19 -30,Colombo,Graduate,Public Sector,"101,000 - 150,000",Both,Government,More than one year,"To Transfer money, To pay bills",From Bank,Useful,No,Average,Good,No,Government Banks,Yes
11/3/2020 9:27,Male,19 -30,Kurunegala,Graduate,Private Sector,"51,000 - 100,000",Savings account,Government,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update, other",From Bank,Useful,Neutral,Average,Good,Neutral,No idea,Yes
11/3/2020 9:28,Female,19 -30,Kurunegala,Postgraduate,Private Sector,"51,000 - 100,000",Savings account,Private,Between 5 months to one year,"To Transfer money, To pay bills",From Bank,Strongly useful,Yes,Good,Good,No,No idea,Yes
11/3/2020 9:39,Female,19 -30,Puttalam,Diploma,Private Sector,"26,000 - 50,000",Savings account,Government,More than one year,To Transfer money,From Bank,Strongly useful,Yes,Good,Good,yes,Government Banks,Yes
11/3/2020 9:44,Female,19 -30,Gampaha,Diploma,Private Sector,"26,000 - 50,000",Savings account,Both,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update, other",From Internet,Strongly useful,Neutral,Average,Average,yes,No idea,Yes
11/3/2020 10:05,Female,19 -30,Kegalle,Graduate,Public Sector,"Less than or equal  25,000",Savings account,Private,Less than 5 months,To get account balance update,From Bank,Useful,Yes,Good,Good,yes,Government Banks,Yes
11/3/2020 10:06,Female,19 -30,Gampaha,Degree,Public Sector,"51,000 - 100,000",Savings account,Government,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Strongly useful,Yes,Good,Good,Neutral,Government Banks,Yes
11/3/2020 10:17,Female,19 -30,Colombo,Other,Private Sector,"26,000 - 50,000",Savings account,Private,Between 5 months to one year,"To pay bills, To buy goods or services, To get account balance update",From a Friend,Strongly useful,Yes,Good,Good,yes,Private Banks,Yes
11/3/2020 10:49,Female,19 -30,Colombo,Graduate,Private Sector,"51,000 - 100,000",Savings account,Private,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Strongly useful,Yes,Average,Average,No,Private Banks,Yes
11/3/2020 10:58,Female,19 -30,Kurunegala,Graduate,Private Sector,"51,000 - 100,000",Savings account,Government,More than one year,"To Transfer money, To pay bills, To get account balance update",Other,Strongly useful,Yes,Good,Good,yes,Government Banks,Yes
11/3/2020 11:08,Female,19 -30,Kegalle,Graduate,Public Sector,"Less than or equal  25,000",Savings account,Government,Between 5 months to one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Strongly useful,Yes,Good,Good,No,No idea,Yes
11/3/2020 11:44,Female,19 -30,Gampaha,Degree,Public Sector,"Less than or equal  25,000",Savings account,Government,More than one year,To get account balance update,From Internet,Useful,Neutral,Good,Average,yes,No idea,Yes
11/3/2020 12:07,Female,19 -30,Kurunegala,Graduate,Private Sector,"51,000 - 100,000",Savings account,Government,More than one year,"To Transfer money, To pay bills, To get account balance update",From Bank,Strongly useful,Neutral,Average,Good,Neutral,No idea,Yes
11/3/2020 12:19,Female,31 - 40,Kurunegala,Diploma,Self-employed,"26,000 - 50,000",Savings account,Both,More than one year,"To Transfer money, To pay bills, To get account balance update",From Internet,Useful,Yes,Good,Good,yes,Private Banks,Yes
11/3/2020 12:27,Male,19 -30,Matara,Degree,Private Sector,"101,000 - 150,000",Savings account,Private,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Internet,Useful,Yes,Average,Average,No,Private Banks,Yes
11/3/2020 12:31,Male,19 -30,Gampaha,Diploma,Self-employed,"51,000 - 100,000",Savings account,Private,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From a Friend,Strongly useful,Yes,Good,Good,yes,Private Banks,Yes
11/3/2020 12:31,Male,19 -30,Colombo,Degree,Private Sector,"51,000 - 100,000",Savings account,Government,Between 5 months to one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Internet,Strongly useful,Yes,Good,Good,yes,Private Banks,Yes
11/3/2020 12:33,Female,19 -30,Colombo,A/L,Student,Not applicable,Savings account,Government,Less than 5 months,To buy goods or services,From Internet,Strongly useful,Neutral,Average,Average,yes,Private Banks,Yes
11/3/2020 12:36,Male,19 -30,Gampaha,Graduate,Private Sector,"26,000 - 50,000",Savings account,Private,Between 5 months to one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From a Friend,Strongly useful,Neutral,Good,Good,No,Private Banks,Yes
11/3/2020 12:38,Female,19 -30,Kegalle,Graduate,Self-employed,"51,000 - 100,000",Savings account,Government,Less than 5 months,"To Transfer money, To pay bills, To get account balance update",From Bank,Strongly useful,Neutral,Good,Good,yes,Government Banks,Yes
11/3/2020 12:45,Female,19 -30,Kegalle,Graduate,Private Sector,"51,000 - 100,000",Savings account,Both,More than one year,"To Transfer money, To pay bills, To get account balance update",From Internet,Strongly useful,Yes,Good,Good,yes,Private Banks,Yes
11/3/2020 12:48,Female,19 -30,Ratnapura,Graduate,Public Sector,"Less than or equal  25,000",Savings account,Both,Less than 5 months,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Strongly useful,Yes,Average,Average,yes,Private Banks,Yes
11/3/2020 12:52,Male,31 - 40,Kurunegala,Degree,Private Sector,"101,000 - 150,000",Savings account,Private,More than one year,To Transfer money,From Bank,Useful,Neutral,Average,Good,No,Private Banks,Yes
11/3/2020 12:52,Male,19 -30,Kurunegala,Degree,Private Sector,"51,000 - 100,000",Savings account,Both,More than one year,"To Transfer money, To pay bills, To get account balance update",From a Friend,Strongly useful,Neutral,Good,Good,No,Private Banks,Yes
11/3/2020 12:57,Female,19 -30,Gampaha,Graduate,Private Sector,"More than 150,000",Savings account,Private,Less than 5 months,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Strongly useful,Neutral,Good,Good,yes,Government Banks,Yes
11/3/2020 12:57,Female,19 -30,Gampaha,Graduate,Student,Not applicable,Savings account,Government,Between 5 months to one year,To get account balance update,From Bank,Useful,Yes,Average,Average,yes,Private Banks,Yes
11/3/2020 12:59,Male,19 -30,Galle,Graduate,Public Sector,"Less than or equal  25,000",Savings account,Government,Less than 5 months,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From a Friend,Neutral,No,Average,Good,No,Government Banks,No
11/3/2020 13:08,Male,31 - 40,Matara,Graduate,Private Sector,"101,000 - 150,000",Savings account,Government,More than one year,"To Transfer money, To pay bills, To get account balance update",From Bank,Strongly useful,Yes,Good,Good,yes,Government Banks,Yes
11/3/2020 13:12,Male,19 -30,Kurunegala,Graduate,Private Sector,"More than 150,000",Savings account,Private,More than one year,"To Transfer money, To pay bills, To get account balance update",From Internet,Strongly useful,Yes,Good,Good,yes,Private Banks,Yes
11/3/2020 13:13,Male,19 -30,Kurunegala,A/L,Private Sector,"51,000 - 100,000",Both,Private,Between 5 months to one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Strongly useful,Neutral,Good,Good,Neutral,No idea,Yes
11/3/2020 13:16,Male,19 -30,Kegalle,Graduate,Private Sector,"101,000 - 150,000",Savings account,Government,Less than 5 months,"To Transfer money, To pay bills, To get account balance update",From Bank,Useful,Neutral,Good,Good,No,No idea,Yes
11/3/2020 13:19,Male,19 -30,Gampaha,Postgraduate,Self-employed,"51,000 - 100,000",Savings account,Private,Between 5 months to one year,To Transfer money,From Bank,Useful,Neutral,Average,Average,yes,Private Banks,Yes
11/3/2020 13:19,Female,19 -30,Kandy,Graduate,Private Sector,"26,000 - 50,000",Savings account,Both,Between 5 months to one year,"To Transfer money, To pay bills, To get account balance update",From Internet,Useful,Neutral,Good,Good,Neutral,Private Banks,Yes
11/3/2020 13:28,Female,19 -30,Gampaha,Graduate,Private Sector,"51,000 - 100,000",Savings account,Government,Between 5 months to one year,"To Transfer money, To pay bills",From Bank,Useful,Neutral,Good,Good,Neutral,Private Banks,Yes
11/3/2020 13:41,Male,19 -30,Kurunegala,Diploma,Private Sector,"51,000 - 100,000",Savings account,Government,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update, other",From Internet,Strongly useful,Neutral,Average,Average,yes,No idea,Yes
11/3/2020 13:47,Male,19 -30,Colombo,A/L,Private Sector,"26,000 - 50,000",Savings account,Private,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Strongly useful,Yes,Good,Good,Neutral,No idea,Yes
11/3/2020 13:48,Male,19 -30,Kalutara,Diploma,Student,Not applicable,Savings account,Private,More than one year,To buy goods or services,From Bank,Strongly useful,Yes,Average,Good,No,No idea,Yes
11/3/2020 13:54,Male,19 -30,Kalutara,Postgraduate,Student,Not applicable,Savings account,Both,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Strongly useful,Neutral,Average,Good,No,Private Banks,Yes
11/3/2020 13:56,Female,19 -30,Gampaha,Graduate,Public Sector,"Less than or equal  25,000",Savings account,Government,Between 5 months to one year,"To Transfer money, To pay bills, To get account balance update",From Bank,Strongly useful,Yes,Average,Good,yes,No idea,Yes
11/3/2020 13:56,Female,19 -30,Gampaha,Degree,Student,Not applicable,Savings account,Government,More than one year,"To buy goods or services, other",From Bank,Useful,Neutral,Average,Average,No,Private Banks,Yes
11/3/2020 13:58,Male,19 -30,Kandy,Degree,Private Sector,"Less than or equal  25,000",Savings account,Private,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Internet,Strongly useful,Yes,Good,Good,yes,Private Banks,Yes
11/3/2020 14:04,Female,Above 50,Kalutara,Graduate,Public Sector,"26,000 - 50,000",Savings account,Government,Less than 5 months,To pay bills,From Bank,Useful,Neutral,Good,Average,No,No idea,Yes
11/3/2020 14:16,Female,Above 50,Kurunegala,Postgraduate,Public Sector,"101,000 - 150,000",Savings account,Government,More than one year,"To pay bills, To buy goods or services, To get account balance update",From a Friend,Useful,Yes,Good,Average,yes,No idea,Yes
11/3/2020 14:23,Female,19 -30,Kalutara,Degree,Private Sector,Not applicable,Savings account,Both,Less than 5 months,"To buy goods or services, To get account balance update",From Bank,Strongly useful,Neutral,Average,Average,Neutral,No idea,Yes
11/3/2020 14:28,Female,19 -30,Anuradhapura,Graduate,Private Sector,"51,000 - 100,000",Savings account,Government,Between 5 months to one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From a Friend,Strongly useful,Neutral,Good,Good,yes,Government Banks,Yes
11/3/2020 14:32,Female,19 -30,Ratnapura,Degree,Student,Not applicable,Savings account,Both,Less than 5 months,"To Transfer money, To pay bills, To get account balance update, other",From Bank,Strongly useful,Neutral,Good,Good,yes,No idea,Yes
11/3/2020 14:35,Female,19 -30,Galle,Graduate,Self-employed,"Less than or equal  25,000",Savings account,Private,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Useful,Neutral,Good,Average,Neutral,Private Banks,Yes
11/3/2020 14:37,Male,19 -30,Colombo,Diploma,Student,Not applicable,Savings account,Both,Between 5 months to one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Strongly useful,Yes,Good,Good,yes,Government Banks,Yes
11/3/2020 14:47,Male,19 -30,Colombo,Graduate,Private Sector,"51,000 - 100,000",Savings account,Both,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update, other",From Internet,Useful,Neutral,Good,Good,No,No idea,Yes
11/3/2020 15:33,Female,19 -30,Gampaha,Postgraduate,Private Sector,"26,000 - 50,000",Both,Private,Between 5 months to one year,"To Transfer money, To get account balance update",From Bank,Neutral,Yes,Good,Good,No,Private Banks,Yes
11/3/2020 15:49,Female,19 -30,Monaragala,Degree,Student,Not applicable,Savings account,Government,Less than 5 months,To Transfer money,From Bank,Strongly useful,Yes,Average,Good,Neutral,No idea,Yes
11/3/2020 15:56,Male,19 -30,Monaragala,Degree,Student,Not applicable,Savings account,Both,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Strongly useful,Yes,Good,Good,Neutral,No idea,Yes
11/3/2020 15:59,Female,19 -30,Monaragala,Degree,Student,Not applicable,Both,Government,More than one year,"To buy goods or services, To get account balance update",From Bank,Strongly useful,Yes,Good,Good,yes,Government Banks,Yes
11/3/2020 16:03,Male,19 -30,Monaragala,A/L,Public Sector,"51,000 - 100,000",Savings account,Government,Between 5 months to one year,"To Transfer money, To pay bills",From Internet,Strongly useful,Yes,Good,Good,yes,Government Banks,Yes
11/3/2020 16:05,Male,19 -30,Monaragala,A/L,Public Sector,"51,000 - 100,000",Savings account,Government,Between 5 months to one year,"To Transfer money, To pay bills",From Internet,Strongly useful,Yes,Good,Good,yes,Government Banks,Yes
11/3/2020 16:20,Male,31 - 40,Gampaha,Graduate,Private Sector,"26,000 - 50,000",Both,Both,Less than 5 months,"To pay bills, To buy goods or services",From a Friend,Useful,Neutral,Average,Average,Neutral,Private Banks,Yes
11/3/2020 16:51,Male,41 - 50,Colombo,Postgraduate,Private Sector,"More than 150,000",Savings account,Private,More than one year,"To Transfer money, To pay bills, To get account balance update",Other,Strongly useful,Neutral,Good,Good,yes,Private Banks,Yes
11/3/2020 17:01,Male,19 -30,Kurunegala,Graduate,Public Sector,"51,000 - 100,000",Savings account,Government,Less than 5 months,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Internet,Useful,Yes,Average,Good,Neutral,Government Banks,Yes
11/3/2020 17:19,Female,19 -30,Colombo,Graduate,Private Sector,Not applicable,Savings account,Both,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Internet,Useful,Neutral,Average,Average,No,Private Banks,Yes
11/3/2020 17:28,Male,19 -30,Gampaha,Graduate,Private Sector,"26,000 - 50,000",Savings account,Both,More than one year,"To pay bills, To buy goods or services",From Bank,Useful,Yes,Good,Average,Neutral,Private Banks,Yes
11/3/2020 17:50,Female,19 -30,Kalutara,Degree,Student,Not applicable,Savings account,Both,Less than 5 months,To buy goods or services,From a Friend,Strongly useful,Yes,Good,Good,No,No idea,Yes
11/3/2020 17:53,Female,19 -30,Matara,Degree,Student,Not applicable,Savings account,Government,Less than 5 months,"To Transfer money, To get account balance update",From Bank,Strongly useful,Yes,Good,Good,No,Government Banks,Yes
11/3/2020 18:40,Female,19 -30,Gampaha,Graduate,Private Sector,"101,000 - 150,000",Savings account,Government,More than one year,"To Transfer money, To pay bills, To get account balance update",From Bank,Strongly useful,Yes,Good,Good,yes,Private Banks,Yes
11/3/2020 19:26,Female,19 -30,Matara,Graduate,Public Sector,"Less than or equal  25,000",Savings account,Government,Less than 5 months,"To Transfer money, To get account balance update",From Internet,Strongly useful,Yes,Average,Good,Neutral,Government Banks,Yes
11/3/2020 19:41,Male,31 - 40,Colombo,Graduate,Private Sector,"More than 150,000",Both,Private,More than one year,"To Transfer money, To pay bills, To buy goods or services, To get account balance update",From Bank,Strongly useful,Yes,Good,Good,yes,Private Banks,Yes
11/3/2020 19:55,Female,19 -30,Gampaha,Graduate,Public Sector,"26,000 - 50,000",Current account,Government,Less than 5 months,"To Transfer money, To buy goods or services, To get account balance update",From Internet,Useful,Yes,Good,Good,No,Private Banks,Yes
11/3/2020 20:00,Male,19 -30,Kandy,Degree,Private Sector,"101,000 - 150,000",Savings account,Private,More than one year,"To Transfer money, To get account balance update",From Bank,Useful,Neutral,Average,Good,yes,Private Banks,Yes
